Run No 	 AoA 	 Tr Pixel 	 	 Xtr/C 	 	 Sp Pixel 	 Xsp/C 	 	 Up/Down 
sAOA 	 0.0 	 147.000000 	 18.687014 	 U 
sAOA 	 1.0 	 130.000000 	 15.935604 	 U 
sAOA 	 -8.0 	 129.000000 	 17.732728 	 U 
sAOA 	 -5.0 	 127.000000 	 16.779995 	 U 
sAOA 	 0.0 	 129.000000 	 15.999508 	 U 
sAOA 	 14 	 172.000000 	 19.535804 	 0 
sAOA 	 -7.0 	 127.000000 	 17.216564 	 U 
sAOA 	 9.0 	 224.000000 	 28.329418 	 U 
sAOA 	 2.0 	 127.000000 	 15.274956 	 U 
sAOA 	 0.0 	 135.000000 	 16.895344 	 R 
sAOA 	 -1.0 	 211.000000 	 28.450503 	 U 
sAOA 	 13 	 168.000000 	 19.138256 	 0 
sAOA 	 6.0 	 276.000000 	 36.724050 	 U 
sAOA 	 7.0 	 274.000000 	 36.220305 	 U 
sAOA 	 -3.0 	 127.000000 	 16.346096 	 U 
sAOA 	 11 	 174.000000 	 20.440025 	 0 
sAOA 	 15 	 156.000000 	 16.944210 	 0 
sAOA 	 10 	 221.000000 	 27.676040 	 0 
sAOA 	 12 	 185.000000 	 21.882969 	 0 
sAOA 	 -4.0 	 142.000000 	 18.797046 	 U 
sAOA 	 -7.0 	 141.000000 	 19.297166 	 U 
sAOA 	 5.0 	 129.000000 	 14.942193 	 U 
sAOA 	 16 	 152.000000 	 16.148540 	 0 
sAOA 	 -2.0 	 214.000000 	 29.106015 	 U 
sAOA 	 -6.0 	 128.000000 	 17.146701 	 U 
sAOA 	 -7.0 	 137.000000 	 18.702709 	 U 
sAOA 	 8.0 	 234.000000 	 30.030579 	 U 
sAOA 	 16 	 151.000000 	 15.999102 	 0 
sAOA 	 3.0 	 285.000000 	 38.682113 	 U 
sAOA 	 -4.0 	 131.000000 	 17.158521 	 U 
sAOA 	 4.0 	 140.000000 	 16.796600 	 U 
sAOA 	 18 	 148.000000 	 15.159515 	 0 
